"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price NZD"
"1","1","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 24P SMD RA","","1","0","1.51000","1.51"
"2","1","497-19473-ND","STM32G431CBT6","IC MCU 32BIT 128KB FLASH 48LQFP","","1","0","10.18000","10.18"
"3","2","311-0.0GRCT-ND","RC0603JR-070RL","RES 0 OHM JUMPER 1/10W 0603","","2","0","0.19000","0.38"
"4","8","13-RT0603BRD07500RLCT-ND","RT0603BRD07500RL","RES 500 OHM 0.1% 1/10W 0603","","8","0","0.19000","1.52"
"5","2","478-7800-1-ND","SD0805S020S1R0","DIODE SCHOTTKY 20V 1A 0805","","2","0","0.60000","1.20"
"6","1","F3157CT-ND","SP0504BAHTG","TVS DIODE 5.5VWM 8.5VC SOT23-5","","1","0","1.70000","1.70"
"7","2","311-4.70KHRCT-ND","RC0603FR-074K7L","RES 4.7K OHM 1% 1/10W 0603","","2","0","0.19000","0.38"
"8","2","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","2","0","0.19000","0.38"
"9","3","311-10.0KHRCT-ND","RC0603FR-0710KL","RES 10K OHM 1% 1/10W 0603","","3","0","0.19000","0.57"
"10","1","1727-2743-1-ND","PTVS7V5Z1USKYL","TVS DIODE 7.5VWM 13.5V DSN16082","","1","0","0.73000","0.73"
"11","1","CKN12310-1-ND","PTS636SM43SMTR LFS","SWITCH TACTILE SPST-NO 0.05A 12V","","1","0","0.35000","0.35"
"12","1","CKN9559-ND","OS102011MA1QN1","SWITCH SLIDE SPDT 100MA 12V","","1","0","1.22000","1.22"
"13","1","4878-MMBT3906CT-ND","MMBT3906","TRANS PNP 40V 0.2A SOT23-3","","1","0","0.21000","0.21"
"14","1","4878-MMBT3904CT-ND","MMBT3904","TRANS NPN 40V 0.2A SOT23-3","","1","0","0.21000","0.21"
"15","2","MH1608-221YCT-ND","MH1608-221Y","FERRITE BEAD 220 OHM 0603 1LN","","2","0","0.19000","0.38"
"16","1","399-C0603C475K9PACTUCT-ND","C0603C475K9PACTU","CAP CER 4.7UF 6.3V X5R 0603","","1","0","0.27000","0.27"
"17","2","399-C0603C106M9PACTUCT-ND","C0603C106M9PACTU","CAP CER 10UF 6.3V X5R 0603","","2","0","0.50000","1.00"
"18","2","399-C0603C105K9RACTUCT-ND","C0603C105K9RACTU","CAP CER 1UF 6.3V X7R 0603","","2","0","0.41000","0.82"
"19","4","399-17575-1-ND","C0603C104K9PACTU","CAP CER SMD 0603 .1UF 10% X5R 6.","","4","0","0.33000","1.32"
"20","1","399-15351-1-ND","C0603C104K9RACTU","CAP CER 0.1UF 6.3V X7R 0603","","1","0","0.25000","0.25"
"21","1","399-C0603C103K9RACTUCT-ND","C0603C103K9RACTU","CAP CER 10000PF 6.3V X7R 0603","","1","0","0.19000","0.19"
"22","1","AZ1117CH-3.3TRG1DICT-ND","AZ1117CH-3.3TRG1","IC REG LINEAR 3.3V 1A SOT-223-3","","1","0","0.83000","0.83"
"23","1","AE11085-ND","AWHW2 10G-0202","CONN HEADER VERT 10POS 2MM","","1","0","2.03000","2.03"
"24","1","732-4981-1-ND","150060YS75000","LED YELLOW CLEAR 0603 SMD","","1","0","0.27000","0.27"
"25","1","732-4980-1-ND","150060VS75000","LED GREEN CLEAR 0603 SMD","","1","0","0.27000","0.27"
"26","1","732-4978-1-ND","150060RS75000","LED RED CLEAR 0603 SMD","","1","0","0.27000","0.27"
"27","4","732-4966-1-ND","150060BS75000","LED BLUE CLEAR 0603 SMD","","4","0","0.29000","1.16"
"28","1","732-150060AS75000CT-ND","150060AS75000","LED AMBER CLEAR 0603 SMD","","1","0","0.27000","0.27"
"29","1","5923-0ZCK0075FF2ECT-ND","0ZCK0075FF2E","PTC RESET FUSE 6V 750MA 0805","","1","0","0.56000","0.56"
"30","1","4983-12.60049CT-ND","12.60049","CERAMIC SMD CRYSTAL 4 PAD","","1","0","1.27000","1.27"
"31","2","311-5.10KHRCT-ND","RC0603FR-075K1L","RES 5.1K OHM 1% 1/10W 0603","","2","0","0.19000","0.38"
"32","2","399-C0603C120K9RAC7411CT-ND","C0603C120K9RAC7411","CAP CER 12PF 6.3V X7R 0603","","2","0","0.21000","0.42"
"33","1","399-C0805C226M9PACTUCT-ND","C0805C226M9PACTU","CAP CER 22UF 6.3V X5R 0805","","1","0","0.33000","0.33"
